,actions,availability,bucket_name,discount_asked,discount_obtained,id,nightly_price,nightly_price_scraped,response
0,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$816242339.0.0""><span data-reactid="".4.3.0:$816242339.0.0.0""><span data-reactid="".4.3.0:$816242339.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$816242339.0.0.0.$0"">Ieri alle 20:52</span></span></span>]",-1,days1_weeks1,0.6,0,8823897,55.0,$60,"Hi Reuben, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-31 to 2016-04-01. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $30/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
1,[],-1,days1_weeks1,0.7,0,7803063,65.0,$120,"No can do. Cleaning fee alone is $50.  *************** Hi Josh, my name is Michele and I am interested in staying at your place for 1 day, from 2016-04-02 to 2016-04-03. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $45/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
2,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$814909336.0.0""><span data-reactid="".4.3.0:$814909336.0.0.0""><span data-reactid="".4.3.0:$814909336.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$814909336.0.0.0.$0"">lo scorso Sabato alle 18:48</span></span></span>]",-1,days1_weeks1,0.8,0,8860745,92.0,$112,"I arrive late* (11pm) *************** Hi Michele - unfortunately my apartment is occupied and I will be in town that evening. I arrive already if you need a place to crash I have a futon... I can charge you half price? *************** Hi Camila, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-27 to 2016-03-28. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $70/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
3,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815187673.0.0""><span data-reactid="".4.3.0:$815187673.0.0.0""><span data-reactid="".4.3.0:$815187673.0.0.0.$0"">Devin</span><span data-reactid="".4.3.0:$815187673.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$815187673.0.0.0.$1"">lo scorso Sabato alle 23:12</span></span></span>]",-1,days1_weeks1,0.6,0,6038278,32.0,$35,"Hi the room is available but the price is firm. It's still a very good price for the room.  *************** Hi Devin, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-27 to 2016-03-28. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 2 collegues of mine, who will stay with me.  Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $15/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
4,[],-1,days1_weeks1,0.7,0,6400170,74.0,$130,"Hi Andres, my name is Michele and I am interested in staying at your place for 1 day, from 2016-04-02 to 2016-04-03. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $50/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
5,[],-1,days1_weeks1,0.8,0,10782686,69.0,$83,"Sorry sir, that room is already taken by some of my friends. For the the whole week till 2nd April. 
Thanks a lot *************** Hi Jackson, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-27 to 2016-03-28. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $55/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
6,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$814886926.0.0""><span data-reactid="".4.3.0:$814886926.0.0.0""><span data-reactid="".4.3.0:$814886926.0.0.0.$0"">Monika</span><span data-reactid="".4.3.0:$814886926.0.0.0.1""> ha inviato un'offerta speciale di </span><span data-reactid="".4.3.0:$814886926.0.0.0.$1"">$204</span><span data-reactid="".4.3.0:$814886926.0.0.0.3"">/notte</span></span></span>, <span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$814883868.0.0""><span data-reactid="".4.3.0:$814883868.0.0.0""><span data-reactid="".4.3.0:$814883868.0.0.0.$0"">Monika</span><span data-reactid="".4.3.0:$814883868.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$814883868.0.0.0.$1"">lo scorso Sabato alle 18:27</span></span></span>]",-1,days1_weeks1,0.9,0,6044964,122.0,$204,"Hi Michele, do you by any chance need extra days I believe my booking for the 1st and 2nd April is canceling  so the days will become available.  BEST, Monika  *************** Hi Monika, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-31 to 2016-04-01. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $105/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
7,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$814854923.0.0""><span data-reactid="".4.3.0:$814854923.0.0.0""><span data-reactid="".4.3.0:$814854923.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$814854923.0.0.0.$0"">lo scorso Sabato alle 18:03</span></span></span>]",-1,days1_weeks1,0.6,0,9489538,60.0,$65,"Hi Bruna, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-27 to 2016-03-28. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $35/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
8,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$814869243.0.0""><span data-reactid="".4.3.0:$814869243.0.0.0""><span data-reactid="".4.3.0:$814869243.0.0.0.$0"">Roo And Neil</span><span data-reactid="".4.3.0:$814869243.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$814869243.0.0.0.$1"">lo scorso Sabato alle 18:15</span></span></span>]",-1,days1_weeks1,0.7,0,9607920,31.0,$34,"Welcome  MIchele *************** Hi Roo And Neil, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-31 to 2016-04-01. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $20/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
9,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$814965078.0.0""><span data-reactid="".4.3.0:$814965078.0.0.0""><span data-reactid="".4.3.0:$814965078.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$814965078.0.0.0.$0"">lo scorso Sabato alle 19:37</span></span></span>]",-1,days1_weeks1,0.8,0,9505762,46.0,$50,"Hi Michele. I actually make about $30 after New York State taxes and AIRBNB fees. Also please take into consideration water and electricity. It's a house. I pay for it all. Thank you for your interest and good luck.  *************** Hi Nancy, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-27 to 2016-03-28. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $35/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
